	D3T0_sorted	D3T3_sorted	D3T7_sorted	D3T14_sorted	D3T0_unsorted	D3T3_unsorted	D3T7_unsorted	D3T14_unsorted
LOC643542	3	1	0	12	1	0	2	6
LOC643623	14	14	14	13	6	6	2	6
LOC643648	0	1	0	0	0	0	0	0
LOC643669	0	0	0	0	0	0	0	0
LOC643711	17	13	27	20	10	7	3	10
LOC643723	2	0	1	1	1	1	1	1
LOC643733	2	2	0	3	1	1	7	1
LOC643770	6	3	11	8	4	4	2	5
LOC643802	1	4	3	6	5	6	3	9
LOC643837	29	13	16	21	30	39	32	28
LOC643923	0	0	0	0	0	0	0	0
LOC644145	0	0	0	0	0	0	0	0
LOC644172	0	0	0	0	0	0	0	0
LOC644189	1	0	0	2	1	1	3	2
LOC644248	0	0	0	0	0	0	0	0
LOC644554	0	2	3	1	0	1	0	0
LOC644656	12	8	20	21	8	14	7	11
LOC644669	27	24	46	38	9	10	11	16
LOC644838	0	0	0	0	0	0	0	0
LOC644936	550	33	265	168	532	182	276	204
LOC644961	729	162	317	391	3874	652	411	420
LOC645166	439	77	185	156	434	234	316	277
LOC645249	0	0	0	0	0	0	0	0
LOC645355	0	0	0	0	0	0	0	0
LOC645434	0	0	0	0	0	0	0	0
LOC645513	71	26	54	58	35	35	54	38
LOC645638	51	2	1	2	44	5	5	7
LOC645752	6	1	3	0	1	2	4	1
LOC645949	0	0	0	0	0	0	0	1
LOC646168	0	0	0	0	0	0	0	0
LOC646214	318	255	519	328	77	94	103	152
LOC646268	0	0	0	0	0	0	0	0
LOC646278	13	4	16	19	6	6	7	10
LOC646329	14	8	11	9	9	11	1	2
LOC646471	15	25	53	34	10	10	7	18
LOC646626	4	4	12	5	0	6	8	7
LOC646719	32	29	65	42	12	12	11	13
LOC646736	1	3	2	2	2	0	0	2
LOC646743	0	0	0	0	0	0	0	1
LOC646762	58	28	65	35	47	54	18	33
LOC646813	1	0	0	0	2	0	0	2
LOC646862	0	0	0	0	0	0	0	0
LOC646903	3	0	0	0	1	0	0	3
LOC646938	0	0	0	0	0	0	0	0
LOC646999	10	10	36	18	7	11	7	5
LOC647323	0	0	0	0	0	0	0	0
LOC647859	1	0	0	0	0	0	0	0
LOC648691	9	16	31	25	5	7	4	9
LOC648987	34	31	54	41	34	42	25	31
LOC649133	0	0	0	0	0	0	0	0
LOC649330	34	4	16	15	21	15	18	16
LOC649352	0	0	0	0	0	0	0	0
LOC649395	11	2	9	12	8	4	9	11
LOC650226	9	3	24	8	8	1	1	1
LOC650293	2	0	0	3	0	0	0	0
LOC650368	21	2	9	9	11	12	12	4
LOC652276	35	20	19	23	38	19	18	16
LOC653160	0	1	2	3	0	0	0	1
LOC653486	0	0	0	0	0	0	0	0
LOC653501	5	2	4	3	2	12	3	10
LOC653513	33	4	13	14	24	17	11	21
LOC653653	0	1	2	2	1	0	0	1
LOC653712	9	5	10	5	4	3	2	5
LOC653786	1	0	0	0	1	0	1	0
LOC654342	316	71	128	118	231	142	218	188
LOC654433	42	30	55	33	42	13	16	24
LOC654841	3	4	9	7	3	2	1	1
LOC727677	0	0	0	0	0	0	0	0
LOC727751	21	5	22	13	17	8	9	5
LOC727896	68	38	79	65	40	45	56	41
LOC727924	0	0	0	0	0	0	0	1
LOC727982	2	0	2	2	1	1	1	0
LOC728012	0	0	0	0	0	0	0	0
LOC728024	6	3	7	4	6	3	7	10
LOC728040	0	0	0	0	0	0	0	0
LOC728084	0	0	0	0	0	0	2	2
LOC728175	1	0	0	0	0	0	0	0
LOC728228	0	0	0	0	1	0	0	0
LOC728323	16	7	11	10	13	13	11	9
LOC728342	8	14	14	10	2	1	3	8
LOC728392	6	5	15	5	13	13	6	5
LOC728407	9	3	11	6	8	5	7	9
LOC728431	13	4	26	14	25	12	7	7
LOC728463	0	0	0	0	0	0	0	0
LOC728537	9	1	12	3	4	4	1	4
LOC728554	52	14	16	28	35	68	53	35
LOC728606	12	14	23	28	5	6	6	7
LOC728613	16	11	18	15	10	8	4	10
LOC728637	0	0	0	0	0	0	0	0
LOC728716	0	0	0	0	0	0	0	0
LOC728724	0	0	0	0	0	0	0	0
LOC728730	33	29	55	51	15	27	30	43
LOC728739	0	2	0	0	0	0	0	0
LOC728743	3	1	2	1	3	1	3	2
LOC728752	20	7	14	16	2	6	9	7
LOC728819	1	3	0	5	1	7	4	7
LOC728875	15	7	15	17	12	11	14	11
LOC728989	1	0	0	0	0	0	0	1
LOC729020	8	5	7	5	7	5	3	6
LOC729041	5	0	6	3	5	3	2	2
LOC729080	16	5	17	24	9	10	12	32
LOC729121	17	7	25	11	5	4	8	8
LOC729176	30	20	32	27	15	28	25	26
LOC729177	0	0	1	1	1	1	0	0
LOC729444	5	8	7	6	1	1	2	1
LOC729506	0	0	0	1	0	0	0	0
LOC729603	33	26	45	42	13	41	11	31
LOC729609	2	7	7	6	2	2	1	0
LOC729683	11	15	26	12	18	5	9	3
LOC729732	35	25	65	37	12	16	18	20
LOC729737	2	4	3	5	3	1	0	0
LOC729739	552	218	286	287	589	515	425	381
LOC729852	12	5	11	13	17	23	22	17
LOC729911	0	0	0	0	0	0	0	0
LOC729930	4	0	2	2	1	1	4	1
LOC729950	0	0	0	0	1	0	0	0
LOC729966	0	0	0	0	0	0	0	0
LOC729970	3	0	4	6	0	4	7	8
LOC729987	24	17	57	22	3	8	7	11
LOC730101	6	4	2	5	6	4	2	2
LOC730102	12	5	11	6	17	18	6	10
LOC730159	0	0	0	0	0	0	0	0
LOC730183	3	2	1	4	2	0	1	1
LOC730227	29	53	98	72	18	14	24	32
LOC730441	0	0	0	0	0	0	0	0
LOC730668	12	6	21	9	3	6	3	4
LOC730811	0	0	0	0	0	0	0	0
LOC731223	1	0	0	3	0	0	0	0
LOC731275	68	52	78	82	42	33	34	36
LOC731424	2	6	20	8	2	5	3	2
LOC731779	0	0	0	0	0	0	0	0
LOC79015	15	6	7	6	1	9	9	6
LOC80154	35	11	23	12	18	11	13	12
LOC81691	10	4	22	20	9	28	4	13
LOC84931	0	0	0	0	0	0	0	0
LOC90246	0	0	0	0	0	0	0	0
LOC90784	24	21	21	29	6	13	7	8
LOC90834	21	31	48	21	5	7	4	8
LOC91450	0	0	0	1	0	0	0	0
LOC92249	41	20	16	22	68	27	21	21
LOC93432	0	0	0	0	0	0	0	0
LOC93622	4	4	2	2	6	2	6	4
LOC96610	68	19	15	22	36	23	38	30
LOH12CR1	10	2	4	9	9	7	3	8
LOH12CR2	13	16	25	32	8	8	7	9
LONP1	66	16	22	28	169	36	22	34
LONP2	98	78	68	90	98	91	57	91
LONRF1	5	3	4	2	2	2	2	2
LONRF2	18	44	50	25	22	5	9	15
LONRF3	0	2	1	5	0	1	1	4
LOR	0	0	0	0	0	0	0	0
LOX	472	114	96	96	273	109	80	115
LOXHD1	0	0	0	0	0	0	0	0
LOXL1	19	4	2	3	22	5	4	2
LOXL1-AS1	41	37	41	28	22	13	9	17
LOXL2	1268	97	143	182	810	321	187	242
LOXL3	108	15	29	29	83	45	20	23
LOXL4	50	2	0	1	51	4	3	4
LPA	0	0	1	0	0	2	0	0
LPAL2	9	11	14	14	3	5	3	3
LPAR1	53	121	134	150	51	280	150	233
LPAR2	4	2	6	7	2	0	1	2
LPAR3	0	0	0	0	0	0	0	0
LPAR4	29	13	64	62	37	42	51	19
LPAR5	0	0	0	0	0	0	0	0
LPAR6	13	19	34	36	22	22	21	35
LPCAT1	5	2	6	5	4	6	7	2
LPCAT2	31	15	17	17	30	9	13	7
LPCAT3	35	38	61	100	44	82	62	137
LPCAT4	8	4	3	3	3	2	3	2
LPGAT1	61	57	69	33	26	29	23	27
LPHN1	29	17	23	44	14	55	38	58
LPHN2	16	8	20	6	8	5	3	8
LPHN3	0	0	0	0	0	0	0	0
LPIN1	142	99	160	229	190	443	195	335
LPIN2	40	23	40	37	51	46	42	66
LPIN3	50	38	65	84	35	24	29	30
LPL	2	8	232	747	1	22	349	1780
LPO	0	0	0	0	0	0	0	0
LPP	478	302	484	336	266	220	207	230
LPP-AS2	21	21	33	33	35	36	36	39
LPPR1	0	0	0	0	0	0	0	0
LPPR2	31	7	8	26	43	29	21	28
LPPR3	0	0	0	1	0	0	0	0
LPPR4	0	0	0	0	1	0	1	0
LPPR5	0	0	0	0	0	0	0	0
LPXN	150	3	6	7	273	29	7	17
LRAT	100	38	186	160	62	149	58	62
LRBA	23	18	29	13	19	13	7	10
LRCH1	10	6	3	3	3	5	1	3
LRCH2	0	2	4	1	3	3	1	3
LRCH3	25	11	16	17	22	49	21	22
LRCH4	0	0	0	1	0	1	0	1
LRCOL1	0	1	1	0	0	3	0	0
LRFN1	1	0	0	0	0	0	0	0
LRFN2	0	0	0	0	0	0	0	0
LRFN3	0	0	0	0	0	0	0	0
LRFN4	4	3	4	7	10	7	11	2
LRFN5	0	0	0	0	0	0	0	0
LRG1	22	28	38	37	7	7	8	10
LRGUK	2	1	2	0	0	0	0	0
LRIF1	55	9	32	24	76	55	55	79
LRIG1	19	11	16	24	10	10	8	26
LRIG2	17	6	12	13	12	6	16	25
LRIG3	13	18	23	18	4	11	10	14
LRIT1	0	0	0	0	0	0	0	0
LRIT2	0	0	0	0	0	0	0	0
LRIT3	0	0	0	0	0	0	0	0
LRMP	0	0	0	0	0	0	0	0
LRP1	126	39	57	71	81	74	71	117
LRP10	70	25	28	35	100	110	50	64
LRP11	15	7	9	12	14	12	4	7
LRP12	23	13	23	29	14	22	18	15
LRP1B	0	1	1	1	0	1	1	4
LRP2	3	0	4	2	1	3	2	1
LRP2BP	21	20	30	19	12	7	10	7
LRP3	1	0	3	3	3	6	1	1
LRP4	5	1	1	2	2	6	0	1
LRP4-AS1	10	11	22	8	8	4	0	2
LRP5	0	2	1	0	0	0	3	2
LRP5L	7	2	2	6	0	4	1	2
LRP6	24	25	28	31	19	18	16	14
LRP8	7	9	9	10	13	8	14	15
LRPAP1	541	308	398	438	984	1025	712	880
LRPPRC	52	38	45	33	60	55	17	45
LRR1	33	8	15	25	33	23	26	33
LRRC1	1	0	1	0	2	1	0	3
LRRC10	7	7	15	5	3	1	1	3
LRRC10B	0	0	0	0	0	0	0	0
LRRC14	14	5	4	11	12	2	5	4
LRRC14B	0	0	0	0	0	0	2	0
LRRC15	71	0	2	0	101	1	3	1
LRRC16A	54	29	49	69	61	50	50	41
LRRC16B	0	0	0	0	0	0	0	0
LRRC17	156	3	12	4	88	11	12	11
LRRC18	1	0	2	0	0	0	1	0
LRRC19	6	10	17	9	4	6	3	8
LRRC2	43	43	52	41	30	22	19	16
LRRC2-AS1	0	0	0	0	0	0	0	0
LRRC20	1	1	0	1	1	5	5	7
LRRC23	13	1	2	8	7	7	11	7
LRRC24	4	2	1	4	2	1	2	0
LRRC25	10	11	23	12	12	6	3	5
LRRC26	0	0	0	0	0	0	0	0
LRRC27	50	59	85	77	78	40	36	45
LRRC28	70	16	31	28	108	60	78	48
LRRC29	2	0	6	2	3	3	3	6
LRRC3	10	8	26	33	6	7	5	5
LRRC3-AS1	0	0	0	0	0	0	0	0
LRRC30	0	0	0	0	0	0	0	0
LRRC31	0	0	0	0	0	0	0	0
LRRC32	39	17	11	4	51	47	18	16
LRRC34	9	4	0	3	6	2	3	3
LRRC36	2	0	1	4	1	1	1	0
LRRC37A	10	10	14	3	8	8	2	9
LRRC37A11P	23	9	32	14	6	2	8	11
LRRC37A2	16	6	18	7	11	5	4	10
LRRC37A3	11	11	14	8	10	8	4	9
LRRC37A4P	39	34	61	39	31	23	14	22
LRRC37A5P	0	0	0	0	0	1	0	0
LRRC37A6P	1	4	6	9	2	1	0	0
LRRC37B	6	2	6	4	2	6	4	2
LRRC37BP1	48	28	55	46	28	27	26	21
LRRC38	0	0	0	0	0	0	0	0
LRRC39	10	2	2	6	4	4	1	1
LRRC3B	0	0	0	0	0	0	0	0
LRRC3C	0	0	0	0	0	0	0	0
LRRC4	0	0	0	0	1	0	2	0
LRRC40	29	4	10	17	21	26	9	13
LRRC41	54	16	32	29	72	68	39	62
LRRC42	46	12	10	5	34	24	16	13
LRRC43	4	1	1	3	5	2	0	1
LRRC45	1	3	2	2	4	6	2	0
LRRC46	0	0	0	0	1	0	0	0
LRRC47	35	23	25	19	25	13	10	27
LRRC48	8	6	8	5	5	0	2	3
LRRC49	22	6	7	3	40	7	5	7
LRRC4B	0	0	0	0	0	0	0	0
LRRC4C	0	0	0	0	0	2	1	0
LRRC52	0	0	0	0	0	0	0	0
LRRC55	0	1	1	1	0	0	0	0
LRRC56	3	8	21	11	2	6	2	3
LRRC57	29	21	37	34	21	28	18	31
LRRC58	93	56	96	77	63	47	38	51
LRRC59	57	6	17	25	79	35	15	33
LRRC6	13	6	3	5	8	5	6	8
LRRC61	4	0	0	0	3	1	0	1
LRRC66	1	1	0	2	0	1	0	0
LRRC69	1	1	4	5	0	1	2	1
LRRC7	0	0	0	0	0	0	0	0
LRRC70	0	0	0	0	0	0	0	0
LRRC71	5	1	0	0	4	0	0	0
LRRC72	0	0	0	0	0	0	0	0
LRRC73	1	1	0	0	0	0	0	0
LRRC8A	34	11	16	17	30	23	32	27
LRRC8B	19	26	42	34	12	12	11	23
LRRC8C	15	4	4	4	5	3	0	5
LRRC8D	14	5	7	5	16	12	3	2
LRRC8E	21	15	34	25	12	8	12	19
LRRC9	0	0	0	0	0	0	0	0
LRRCC1	19	4	13	8	16	14	8	11
LRRD1	0	1	2	0	0	0	0	0
LRRFIP1	236	89	125	98	355	215	127	177
LRRFIP2	70	24	6	30	86	63	19	49
LRRIQ1	7	0	1	3	10	1	2	0
LRRIQ3	0	0	1	0	1	0	0	1
LRRIQ4	0	0	0	0	0	0	0	0
LRRK1	13	7	10	10	2	12	10	7
LRRK2	1	2	5	6	1	8	1	6
LRRN1	0	0	0	0	0	0	0	0
LRRN2	0	0	0	2	0	0	0	0
LRRN3	2	0	6	6	16	4	4	5
LRRN4	0	0	0	0	0	0	0	0
LRRN4CL	18	23	43	38	12	3	6	13
LRRTM1	0	0	0	0	0	0	0	0
LRRTM2	8	6	3	5	0	3	0	1
LRRTM3	0	0	3	0	2	0	1	5
LRRTM4	0	0	0	0	0	0	0	0
LRSAM1	44	11	14	12	52	21	14	21
LRTM1	0	0	0	0	0	0	0	0
LRTM2	0	0	0	0	0	0	0	0
LRTOMT	44	37	62	42	44	27	21	32
LRWD1	2	0	2	0	1	3	1	0
LSAMP	2	17	21	24	4	68	28	27
LSG1	79	44	33	44	101	97	61	75
LSM1	146	65	71	90	113	152	168	147
LSM10	81	27	26	29	174	112	91	115
LSM11	0	1	2	0	1	1	0	2
LSM12	96	21	44	37	120	90	77	95
LSM14A	64	24	47	23	65	40	36	41
LSM14B	4	2	3	2	4	1	1	5
LSM2	190	40	64	82	153	140	117	121
LSM3	343	95	143	147	389	277	305	311
LSM4	129	46	20	36	202	144	98	126
LSM5	379	129	222	183	306	361	350	323
LSM6	118	36	63	78	70	87	117	90
LSM7	386	71	90	104	457	277	241	233
LSMD1	396	123	184	218	375	360	405	344
LSMEM1	0	2	3	2	0	0	0	1
LSMEM2	31	7	18	22	49	41	19	39
LSP1	171	36	97	85	80	63	104	70
LSP1P3	7	2	4	5	0	1	2	1
LSR	7	1	2	0	4	1	1	2
LSS	530	476	547	552	490	1222	686	897
LST1	0	0	0	0	0	0	0	1
LTA	0	0	0	0	0	0	0	0
LTA4H	153	47	82	73	222	213	145	153
LTB	3	1	0	0	0	0	0	1
LTB4R	20	17	20	10	2	7	9	5
LTB4R2	0	0	0	0	0	0	0	0
LTBP1	196	84	78	64	94	296	128	129
LTBP2	299	56	91	65	240	167	116	174
LTBP3	8	2	8	0	4	9	4	2
LTBP4	5	1	1	0	1	2	0	2
LTBR	73	61	83	87	119	187	103	148
LTC4S	0	0	0	0	0	0	0	0
LTF	0	0	0	1	0	0	0	0
LTK	0	0	0	0	0	0	0	0
LTN1	125	67	76	87	142	115	87	80
LTV1	166	55	91	87	189	151	111	158
LUC7L	78	32	43	64	62	50	54	47
LUC7L2	42	17	20	9	19	28	15	28
LUC7L3	465	302	356	356	445	419	312	330
LUCAT1	3	2	1	3	1	4	0	2
LUM	3175	850	1053	1269	3229	2949	1706	2221
LURAP1	16	14	27	11	18	9	5	8
LURAP1L	27	5	7	10	22	19	8	16
LUZP1	221	70	96	92	279	262	182	204
LUZP2	25	24	34	26	14	7	7	8
LUZP4	0	0	0	0	0	0	0	0
LUZP6	542	141	163	167	781	447	380	439
LXN	132	3	15	8	137	26	31	27
LY6D	0	0	0	0	0	0	0	0
LY6E	14	1	4	4	5	3	4	4
LY6G5B	1	0	0	3	3	0	0	0
LY6G5C	3	1	0	1	3	2	4	4
LY6G6C	0	0	0	0	0	0	0	0
LY6G6D	0	0	0	0	0	0	0	0
LY6G6E	0	0	0	0	0	0	0	0
LY6G6F	0	0	0	0	0	0	0	0
LY6H	0	0	0	0	0	0	0	0
LY6K	2	0	0	4	0	2	6	5
LY75	2	6	4	6	2	0	3	1
LY75-CD302	46	76	96	119	25	123	105	157
LY86	0	0	0	0	0	0	0	0
LY86-AS1	18	9	19	11	9	15	18	20
LY9	0	0	0	1	0	0	0	0
LY96	146	36	45	52	125	86	67	56
LYAR	54	12	23	27	82	48	57	62
LYG1	3	4	3	2	1	6	2	3
LYG2	0	0	1	0	0	1	0	1
LYL1	0	0	0	0	0	0	0	0
LYN	1	3	0	0	1	3	3	0
LYNX1	1	1	1	3	2	2	2	7
LYPD1	5	1	0	0	6	1	1	0
LYPD2	0	0	0	0	0	0	0	0
LYPD3	0	0	0	0	0	0	0	0
LYPD4	1	0	3	3	2	2	1	1
LYPD5	0	1	0	1	2	0	0	0
LYPD6	0	0	0	0	0	0	2	0
LYPD6B	0	0	0	0	0	0	0	0
LYPD8	0	0	0	0	0	0	0	0
LYPLA1	107	37	44	45	90	76	44	76
LYPLA2	21	8	15	11	23	21	15	16
LYPLAL1	85	46	58	36	66	94	53	83
LYRM1	62	38	27	44	97	76	76	122
LYRM2	257	83	139	147	307	284	195	258
LYRM4	125	61	86	101	166	170	153	172
LYRM5	42	15	31	40	35	43	42	86
LYRM7	96	104	139	123	80	102	75	111
LYRM9	1	4	6	6	2	4	2	2
LYSMD1	15	5	12	2	14	11	10	6
LYSMD2	1	0	0	1	4	0	0	0
LYSMD3	41	12	32	24	33	25	28	20
LYSMD4	6	1	5	6	3	2	5	2
LYST	37	72	86	64	22	41	42	52
LYVE1	0	0	0	0	0	0	0	0
LYZ	17	18	21	22	9	14	2	4
LYZL1	0	0	0	0	0	0	0	0
LYZL2	0	0	0	0	0	0	0	0
LYZL4	0	0	0	0	0	0	0	0
LYZL6	0	0	0	0	0	0	0	0
LZIC	90	18	35	30	143	48	78	65
LZTFL1	39	19	17	11	21	42	17	20
LZTR1	32	17	29	19	23	35	10	34
LZTS1	15	10	26	13	6	3	5	3
LZTS1-AS1	0	0	0	0	0	0	0	0
LZTS2	23	8	10	16	20	24	12	12
LZTS3	8	4	12	2	13	14	6	8
M1AP	8	5	9	5	2	4	0	1
M6PR	113	73	78	110	137	223	124	123
MAATS1	0	0	0	1	0	0	0	0
MAB21L1	16	11	19	33	15	25	29	14
MAB21L2	0	0	0	0	0	0	0	0
MAB21L3	88	84	217	99	22	25	33	35
MACC1	60	54	100	88	44	46	33	34
MACC1-AS1	0	0	0	0	0	0	0	1
MACF1	123	69	66	48	66	62	52	79
MACROD1	0	0	0	0	0	2	1	1
MACROD2	1	0	0	0	0	2	0	1
MACROD2-AS1	0	0	0	0	0	0	0	0
MAD1L1	22	7	15	4	46	39	25	12
MAD2L1	50	8	5	6	55	28	18	23
MAD2L1BP	50	30	21	25	71	60	56	46
MAD2L2	50	14	16	16	71	55	46	42
MADCAM1	1	1	1	0	0	0	0	0
MADD	10	6	9	15	7	8	5	7
MAEA	462	169	291	308	306	298	416	263
MAEL	0	0	0	0	0	0	0	0
MAF	8	13	34	25	1	18	10	20
MAF1	18	7	14	12	40	17	21	30
MAFA	0	0	0	0	0	0	0	0
MAFB	10	7	12	15	3	5	4	20
MAFF	29	17	34	19	11	4	5	6
MAFG	39	23	17	23	37	26	17	24
MAFG-AS1	7	5	10	2	3	3	7	0
MAFIP	94	47	76	66	63	102	90	98
MAFK	3	2	4	0	1	4	3	0
MAG	0	0	0	0	0	0	0	0
MAGEA1	0	0	0	0	0	0	0	0
MAGEA10	25	37	46	49	12	12	11	14
MAGEA10-MAGEA5	0	0	0	0	0	0	0	0
MAGEA11	0	0	0	0	0	0	0	0
MAGEA12	0	0	0	0	0	0	0	0
MAGEA2	0	0	0	0	0	0	0	0
MAGEA2B	0	0	0	0	0	0	0	0
MAGEA3	0	0	0	0	0	0	0	0
MAGEA4	0	0	0	0	0	0	0	0
MAGEA5	0	0	0	0	0	0	0	0
MAGEA6	0	0	0	0	0	0	0	0
MAGEA8	0	0	0	0	0	0	0	0
MAGEA8-AS1	0	1	0	0	0	0	0	0
MAGEA9	0	0	0	0	0	0	0	0
MAGEA9B	0	0	0	0	0	0	0	0
MAGEB1	0	0	0	0	0	0	0	0
MAGEB10	14	28	57	32	12	6	8	10
MAGEB16	0	0	0	0	0	0	0	0
MAGEB17	0	0	0	0	0	0	0	0
MAGEB18	0	0	0	0	0	0	0	0
MAGEB2	0	0	0	0	0	0	0	0
MAGEB3	0	0	0	0	0	0	0	0
MAGEB4	0	0	0	0	0	0	0	0
MAGEB5	0	0	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0	0	0
MAGEC1	0	0	0	0	0	0	0	0
MAGEC2	0	0	0	0	0	0	0	0
MAGEC3	0	0	0	0	0	0	0	0
MAGED1	357	66	91	77	873	293	203	204
MAGED2	494	89	129	105	778	351	297	264
MAGED4	55	4	10	8	61	24	11	21
MAGED4B	59	4	8	6	55	26	15	16
MAGEE1	0	0	0	0	0	0	1	1
MAGEE2	0	0	0	0	0	0	0	0
MAGEF1	35	19	17	24	55	35	28	32
MAGEH1	120	79	115	101	151	189	151	151
MAGEL2	0	0	0	0	0	0	0	0
MAGI1	30	8	27	24	48	25	27	35
MAGI1-AS1	0	0	0	0	0	0	0	1
MAGI2	7	4	8	6	2	1	4	8
MAGI2-AS2	0	0	0	0	0	0	0	0
MAGI2-AS3	131	105	136	114	109	156	118	146
MAGI3	41	9	17	13	30	38	21	25
MAGIX	1	0	0	1	2	0	0	0
MAGOH	68	20	34	28	40	38	45	33
MAGOH2	6	0	3	6	3	2	1	4
MAGOHB	116	17	24	30	107	39	45	61
MAGT1	182	86	113	121	201	164	100	153
MAK	14	7	19	16	8	7	5	10
MAK16	101	26	44	50	79	65	49	77
MAL	0	0	0	0	0	0	0	0
MAL2	0	0	0	0	0	1	0	0
MALAT1	97525	103353	117958	146207	98820	80347	72669	81620
MALL	6	18	23	17	15	2	6	3
MALSU1	77	39	34	41	102	91	73	92
MALT1	22	4	17	5	5	8	3	3
MAMDC2	3	2	4	2	1	5	2	8
MAMDC2-AS1	0	1	0	0	1	0	0	0
MAMDC4	0	0	0	1	0	0	2	2
MAML1	11	3	5	4	3	5	8	3
MAML2	55	36	49	56	29	26	30	23
MAML3	2	4	0	1	3	4	3	3
MAMLD1	10	5	13	6	3	9	4	5
MAMSTR	0	0	1	0	1	0	0	0
MAN1A1	43	34	74	65	35	57	43	64
MAN1A2	62	34	41	50	90	124	104	89
MAN1B1	140	23	38	48	233	137	72	86
MAN1B1-AS1	33	14	39	38	5	9	9	14
MAN1C1	8	3	1	3	1	8	6	11
MAN2A1	97	56	68	63	88	115	114	130
MAN2A2	48	46	73	82	56	60	42	91
MAN2B1	42	28	38	49	45	76	68	89
MAN2B2	18	5	8	14	20	25	13	14
MAN2C1	31	12	21	35	16	24	19	18
MANBA	75	44	46	40	122	97	43	48
MANBAL	92	30	62	53	169	154	116	137
MANEA	21	15	36	32	18	27	13	33
MANEAL	38	30	62	42	21	14	16	12
MANF	69	6	37	44	65	49	60	74
MANSC1	14	8	17	14	9	12	9	14
MANSC4	0	0	0	0	0	1	0	0
MAOA	3	92	189	298	0	414	377	657
MAOB	0	2	2	8	0	2	9	9
MAP10	2	2	6	7	13	9	8	5
MAP1A	430	43	52	74	888	224	121	141
MAP1B	1448	573	897	1093	2779	2677	1920	2614
MAP1LC3A	0	0	0	0	0	1	1	0
MAP1LC3B	207	112	70	103	220	246	145	204
MAP1LC3B2	46	24	8	19	52	34	25	41
MAP1LC3C	6	6	8	6	4	2	3	6
MAP1S	15	1	1	10	4	22	11	19
MAP2	0	3	6	4	1	3	4	3
MAP2K1	18	11	8	5	2	13	11	7
MAP2K2	75	25	54	38	82	89	44	68
MAP2K3	5	5	4	12	1	15	6	13
MAP2K4	9	7	5	8	7	15	10	7
MAP2K4P1	1	0	0	1	0	0	0	3
MAP2K5	5	2	4	8	4	6	6	7
MAP2K6	3	2	5	2	2	11	9	7
MAP2K7	1	1	2	1	1	1	0	0
MAP3K1	0	1	11	3	2	1	3	6
MAP3K10	3	0	2	1	3	2	4	2
MAP3K11	0	1	0	6	3	3	1	5
MAP3K12	6	3	2	6	1	7	0	2
MAP3K13	167	72	128	98	150	117	92	107
MAP3K14	8	4	2	3	11	4	1	3
MAP3K14-AS1	0	1	2	0	1	0	0	0
MAP3K15	5	0	1	5	4	7	1	2
MAP3K19	0	0	0	1	0	0	1	0
MAP3K2	78	32	41	34	39	39	26	42
MAP3K3	2	10	5	6	7	11	11	8
MAP3K4	31	28	14	20	22	22	11	14
MAP3K5	0	5	6	3	0	14	4	9
MAP3K6	10	0	5	14	30	21	14	16
MAP3K7	55	46	29	33	64	56	45	34
MAP3K7CL	11	1	1	0	38	4	0	0
MAP3K8	6	13	9	18	5	10	12	8
MAP3K9	10	21	39	28	11	4	4	9
MAP4	465	72	164	126	594	276	232	242
MAP4K1	1	1	0	1	1	0	0	1
MAP4K2	1	2	0	0	2	1	1	0
MAP4K3	13	15	12	20	12	11	11	16
MAP4K4	292	195	278	227	281	456	257	332
MAP4K5	211	75	123	78	233	164	117	145
MAP6	7	0	6	2	0	0	3	0
MAP6D1	9	1	1	0	5	4	1	3
MAP7	0	0	1	0	0	0	1	0
MAP7D1	55	17	22	24	65	32	26	32
MAP7D2	2	0	0	0	3	4	0	1
MAP7D3	152	82	152	114	128	134	90	127
MAP9	41	14	30	21	79	38	34	36
MAPK1	56	23	15	20	31	17	18	25
MAPK10	1	3	6	6	2	4	3	14
MAPK11	1	0	4	1	0	0	1	1
MAPK12	108	41	41	42	203	98	75	92
MAPK13	55	37	109	64	39	22	25	29
MAPK14	22	15	17	14	12	17	17	29
MAPK15	0	0	0	0	0	0	0	0
MAPK1IP1L	256	111	227	181	347	325	196	219
MAPK3	19	4	8	4	9	10	9	11
MAPK4	0	0	0	0	0	0	0	0
MAPK6	63	31	24	25	74	37	25	40
MAPK7	38	5	10	12	40	31	19	11
MAPK8	16	6	8	10	18	10	12	9
MAPK8IP1	0	0	0	0	0	1	0	0
MAPK8IP2	0	0	0	0	0	0	0	0
MAPK8IP3	6	2	2	5	3	3	0	1
MAPK9	25	14	19	7	12	19	16	14
MAPKAP1	100	32	52	44	131	89	52	100
MAPKAPK2	8	12	5	2	9	10	2	5
MAPKAPK3	6	1	4	5	24	20	5	17
MAPKAPK5	4	4	0	4	2	1	5	7
MAPKAPK5-AS1	74	47	53	40	85	130	78	102
MAPKBP1	25	18	35	33	8	9	13	11
MAPRE1	217	43	106	89	361	213	164	192
MAPRE2	45	8	17	16	34	34	12	20
MAPRE3	3	0	0	1	2	0	1	4
MAPT	0	3	0	0	2	4	2	2
MAPT-AS1	0	0	0	0	0	0	0	0
MAPT-IT1	0	0	0	0	0	0	0	0
MARC1	1	2	13	17	0	2	6	39
MARC2	0	1	2	1	0	0	1	4
MARCH1	2	4	4	2	3	2	0	0
MARCH10	0	1	1	5	0	4	0	1
